PairID	type	plink.IBD.PI_HAT
E373.59-S51425.T	QCarray	0
E373.59-S51434.T	QCarray	0
E373.59-S51435.T	QCarray	0
E373.59-S51436.T	QCarray	0
E373.59-S51445.T	QCarray	0
E373.59-S51446.T	QCarray	0.0258
E373.59-S51540.T	QCarray	0
E373.59-S51451.T	QCarray	0
E373.59-S51453.T	QCarray	0
E373.59-S51454.T	QCarray	0
E373.59-S51455.T	QCarray	0
E373.59-S51458.T	QCarray	0
E373.59-S51468.T	QCarray	0
E373.59-S51472.T	QCarray	0
E373.59-S51481.T	QCarray	0
E373.59-S51484.T	QCarray	0.0059
E373.59-S51485.T	QCarray	0
E373.59-S51486.T	QCarray	0
E373.59-S51487.T	QCarray	0.0136
E373.59-S51417.T	QCarray	0
E373.59-S51418.T	QCarray	0
E373.59-S51420.T	QCarray	0
E373.59-S51424.T	QCarray	0.0184
E373.59-S51427.T	QCarray	0
E373.59-S51429.T	QCarray	0
E373.59-S51430.T	QCarray	0
E373.59-S51431.T	QCarray	0
E373.59-S51432.T	QCarray	0
E373.59-S51441.T	QCarray	0
E373.59-S51448.T	QCarray	0
E373.59-S51449.T	QCarray	0
E373.59-S51459.T	QCarray	0.0346
E373.59-S51460.T	QCarray	0
E373.59-S51461.T	QCarray	0
E373.59-S51466.T	QCarray	0
E373.59-S51466.N	QCarray	0
E373.59-S51468.N	QCarray	0
E373.59-S51475.T	QCarray	0
E373.59-S51480.T	QCarray	0
E373.59-S51490.T	QCarray	0
E373.59-S51491.N	QCarray	0
E373.59-S51480.N	QCarray	0
E373.59-S51482.T	QCarray	0
E373.59-E337.2	QCarray	0
E373.59-E337.03	QCarray	0
E373.59-E337.07	QCarray	0
E373.59-E540.20	QCarray	0
E373.65-E389.47	QCarray	0
E373.65-E337.9	QCarray	0
E373.65-E775.02	QCarray	0
E373.65-E775.04	QCarray	0
E373.65-E660.12	QCarray	0.1564
E373.65-E772.13	QCarray	0
E373.65-E660.11	QCarray	0.114
E373.65-E772.16	QCarray	0
E373.65-E660.10	QCarray	0
E373.65-E620.10	QCarray	0
E373.65-E741.18	QCarray	0
E373.65-E620.09	QCarray	0
E373.65-E731.01	QCarray	0
E373.65-E775.13	QCarray	0
E373.65-E500.24	QCarray	0.1054
E373.65-S51423.T	QCarray	0
E373.65-S51425.T	QCarray	0
E373.65-S51434.T	QCarray	0
E373.65-S51435.T	QCarray	0
E373.65-S51436.T	QCarray	0
E373.65-S51445.T	QCarray	0
E373.65-S51446.T	QCarray	0
E373.65-S51540.T	QCarray	0
E373.65-S51451.T	QCarray	0
E373.65-S51453.T	QCarray	0
E373.65-S51454.T	QCarray	0
E373.65-S51455.T	QCarray	0
E373.65-S51458.T	QCarray	1
E373.65-S51468.T	QCarray	0
E373.65-S51472.T	QCarray	0
E373.65-S51481.T	QCarray	0
E373.65-S51484.T	QCarray	0
E373.65-S51485.T	QCarray	0
E373.65-S51486.T	QCarray	0
E373.65-S51487.T	QCarray	0
E373.65-S51417.T	QCarray	0
E373.65-S51418.T	QCarray	0
E373.65-S51420.T	QCarray	0
E373.65-S51424.T	QCarray	0
E373.65-S51427.T	QCarray	0
E373.65-S51429.T	QCarray	0
E373.65-S51430.T	QCarray	0
E373.65-S51431.T	QCarray	0
E373.65-S51432.T	QCarray	0
E373.65-S51441.T	QCarray	0
E373.65-S51448.T	QCarray	0
E373.65-S51449.T	QCarray	0
E373.65-S51459.T	QCarray	0
E373.65-S51460.T	QCarray	0
E373.65-S51461.T	QCarray	0
E373.65-S51466.T	QCarray	0
E373.65-S51466.N	QCarray	0
E373.65-S51468.N	QCarray	0
E373.65-S51475.T	QCarray	0
E373.65-S51480.T	QCarray	0
E373.65-S51490.T	QCarray	0
E373.65-S51491.N	QCarray	0
E373.65-S51480.N	QCarray	0
E373.65-S51482.T	QCarray	0.111
E373.65-E337.2	QCarray	0
E373.65-E337.03	QCarray	0
E373.65-E337.07	QCarray	0
E373.65-E540.20	QCarray	0
E389.47-E337.9	QCarray	0.0448
E389.47-E775.02	QCarray	0
E389.47-E775.04	QCarray	0
E389.47-E660.12	QCarray	0.2122
E389.47-E772.13	QCarray	0
E389.47-E660.11	QCarray	0.1586
E389.47-E772.16	QCarray	0
E389.47-E660.10	QCarray	0.093
E389.47-E620.10	QCarray	0
E389.47-E741.18	QCarray	0.0385
E389.47-E620.09	QCarray	0.0439
E389.47-E731.01	QCarray	0.0682
E389.47-E775.13	QCarray	0.0696
E389.47-E500.24	QCarray	0
E389.47-S51423.T	QCarray	0
E389.47-S51425.T	QCarray	0
E389.47-S51434.T	QCarray	0.0572
E389.47-S51435.T	QCarray	0.0417
E389.47-S51436.T	QCarray	0.0564
E389.47-S51445.T	QCarray	0
E389.47-S51446.T	QCarray	0.0603
E389.47-S51540.T	QCarray	0
E389.47-S51451.T	QCarray	0
E389.47-S51453.T	QCarray	0
E389.47-S51454.T	QCarray	0.0216
E389.47-S51455.T	QCarray	0
E389.47-S51458.T	QCarray	0
E389.47-S51468.T	QCarray	0
E389.47-S51472.T	QCarray	0.0482
E389.47-S51481.T	QCarray	0
E389.47-S51484.T	QCarray	0
E389.47-S51485.T	QCarray	0
E389.47-S51486.T	QCarray	0
E389.47-S51487.T	QCarray	0
E389.47-S51417.T	QCarray	0
E389.47-S51418.T	QCarray	0.0288
E389.47-S51420.T	QCarray	0
E389.47-S51424.T	QCarray	0
E389.47-S51427.T	QCarray	0
E389.47-S51429.T	QCarray	0
E389.47-S51430.T	QCarray	0
E389.47-S51431.T	QCarray	0
E389.47-S51432.T	QCarray	0
E389.47-S51441.T	QCarray	0.0607
E389.47-S51448.T	QCarray	0
E389.47-S51449.T	QCarray	0
E389.47-S51459.T	QCarray	0
E389.47-S51460.T	QCarray	0.0498
E389.47-S51461.T	QCarray	0
E389.47-S51466.T	QCarray	0
E389.47-S51466.N	QCarray	0
E389.47-S51468.N	QCarray	0
E389.47-S51475.T	QCarray	0
E389.47-S51480.T	QCarray	0
E389.47-S51490.T	QCarray	0
E389.47-S51491.N	QCarray	0
E389.47-S51480.N	QCarray	0
E389.47-S51482.T	QCarray	0
E389.47-E337.2	QCarray	0.0527
E389.47-E337.03	QCarray	0.0583
E389.47-E337.07	QCarray	0
E389.47-E540.20	QCarray	0.0423
E337.9-E775.02	QCarray	0
E337.9-E775.04	QCarray	0
E337.9-E660.12	QCarray	0.1672
E337.9-E772.13	QCarray	0
E337.9-E660.11	QCarray	0.1382
E337.9-E772.16	QCarray	0
E337.9-E660.10	QCarray	0.0759
E337.9-E620.10	QCarray	0
E337.9-E741.18	QCarray	0.0304
E337.9-E620.09	QCarray	0.0254
E337.9-E731.01	QCarray	0.0316
E337.9-E775.13	QCarray	0.0545
E337.9-E500.24	QCarray	0
E337.9-S51423.T	QCarray	0
E337.9-S51425.T	QCarray	0
E337.9-S51434.T	QCarray	0
E337.9-S51435.T	QCarray	0.0561
E337.9-S51436.T	QCarray	0.0417
E337.9-S51445.T	QCarray	0
E337.9-S51446.T	QCarray	0.0136
E337.9-S51540.T	QCarray	0
E337.9-S51451.T	QCarray	0
E337.9-S51453.T	QCarray	0.013
E337.9-S51454.T	QCarray	0.0311
E337.9-S51455.T	QCarray	0
E337.9-S51458.T	QCarray	0
E337.9-S51468.T	QCarray	0
E337.9-S51472.T	QCarray	0
E337.9-S51481.T	QCarray	0
E337.9-S51484.T	QCarray	0.0031
E337.9-S51485.T	QCarray	0
E337.9-S51486.T	QCarray	0
E337.9-S51487.T	QCarray	0
E337.9-S51417.T	QCarray	0
E337.9-S51418.T	QCarray	0.0097
E337.9-S51420.T	QCarray	0
E337.9-S51424.T	QCarray	0
E337.9-S51427.T	QCarray	0
E337.9-S51429.T	QCarray	0
E337.9-S51430.T	QCarray	0
E337.9-S51431.T	QCarray	0
E337.9-S51432.T	QCarray	0
E337.9-S51441.T	QCarray	0.0351
E337.9-S51448.T	QCarray	0
E337.9-S51449.T	QCarray	0
E337.9-S51459.T	QCarray	0
E337.9-S51460.T	QCarray	0.0585
E337.9-S51461.T	QCarray	0
E337.9-S51466.T	QCarray	0
E337.9-S51466.N	QCarray	0
E337.9-S51468.N	QCarray	0
E337.9-S51475.T	QCarray	0
E337.9-S51480.T	QCarray	0
E337.9-S51490.T	QCarray	0
E337.9-S51491.N	QCarray	0
E337.9-S51480.N	QCarray	0
E337.9-S51482.T	QCarray	0
E337.9-E337.2	QCarray	0.0386
E337.9-E337.03	QCarray	0.0338
E337.9-E337.07	QCarray	0
E337.9-E540.20	QCarray	0.0431
E775.02-E775.04	QCarray	0
E775.02-E660.12	QCarray	0.1987
E775.02-E772.13	QCarray	0
E775.02-E660.11	QCarray	0.2303
E775.02-E772.16	QCarray	0
E775.02-E660.10	QCarray	0
E775.02-E620.10	QCarray	0
E775.02-E741.18	QCarray	0
E775.02-E620.09	QCarray	0
E775.02-E731.01	QCarray	0
E775.02-E775.13	QCarray	0
E775.02-E500.24	QCarray	0.1556
E775.02-S51423.T	QCarray	0
E775.02-S51425.T	QCarray	0
E775.02-S51434.T	QCarray	0
E775.02-S51435.T	QCarray	0
E775.02-S51436.T	QCarray	0
E775.02-S51445.T	QCarray	0
E775.02-S51446.T	QCarray	0
E775.02-S51540.T	QCarray	0
E775.02-S51451.T	QCarray	0
E775.02-S51453.T	QCarray	0
E775.02-S51454.T	QCarray	0
E775.02-S51455.T	QCarray	0
E775.02-S51458.T	QCarray	0
E775.02-S51468.T	QCarray	0
E775.02-S51472.T	QCarray	0
E775.02-S51481.T	QCarray	0
E775.02-S51484.T	QCarray	0
E775.02-S51485.T	QCarray	0
E775.02-S51486.T	QCarray	0
E775.02-S51487.T	QCarray	0
E775.02-S51417.T	QCarray	0
E775.02-S51418.T	QCarray	0
E775.02-S51420.T	QCarray	0
E775.02-S51424.T	QCarray	0
E775.02-S51427.T	QCarray	0
E775.02-S51429.T	QCarray	0
E775.02-S51430.T	QCarray	0
E775.02-S51431.T	QCarray	0
E775.02-S51432.T	QCarray	0
E775.02-S51441.T	QCarray	0
E775.02-S51448.T	QCarray	0
E775.02-S51449.T	QCarray	0
E775.02-S51459.T	QCarray	0
E775.02-S51460.T	QCarray	0
E775.02-S51461.T	QCarray	0
E775.02-S51466.T	QCarray	0
E775.02-S51466.N	QCarray	0
E775.02-S51468.N	QCarray	0
E775.02-S51475.T	QCarray	0
E775.02-S51480.T	QCarray	0
E775.02-S51490.T	QCarray	0
E775.02-S51491.N	QCarray	0
E775.02-S51480.N	QCarray	0
E775.02-S51482.T	QCarray	0
E775.02-E337.2	QCarray	0
E775.02-E337.03	QCarray	0
E775.02-E337.07	QCarray	0
E775.02-E540.20	QCarray	0
E775.04-E660.12	QCarray	0.2199
E775.04-E772.13	QCarray	0
E775.04-E660.11	QCarray	0
E775.04-E772.16	QCarray	0
E775.04-E660.10	QCarray	0
E775.04-E620.10	QCarray	0
E775.04-E741.18	QCarray	0
E775.04-E620.09	QCarray	0
E775.04-E731.01	QCarray	0
E775.04-E775.13	QCarray	0
E775.04-E500.24	QCarray	0
E775.04-S51423.T	QCarray	0
E775.04-S51425.T	QCarray	0
E775.04-S51434.T	QCarray	0
E775.04-S51435.T	QCarray	0
E775.04-S51436.T	QCarray	0
E775.04-S51445.T	QCarray	0
E775.04-S51446.T	QCarray	0
E775.04-S51540.T	QCarray	0
E775.04-S51451.T	QCarray	0
E775.04-S51453.T	QCarray	0
E775.04-S51454.T	QCarray	0
E775.04-S51455.T	QCarray	0
E775.04-S51458.T	QCarray	0
E775.04-S51468.T	QCarray	0
E775.04-S51472.T	QCarray	0
E775.04-S51481.T	QCarray	0
E775.04-S51484.T	QCarray	0
E775.04-S51485.T	QCarray	0
E775.04-S51486.T	QCarray	0
E775.04-S51487.T	QCarray	0
E775.04-S51417.T	QCarray	0
E775.04-S51418.T	QCarray	0
E775.04-S51420.T	QCarray	0
E775.04-S51424.T	QCarray	0
E775.04-S51427.T	QCarray	0
E775.04-S51429.T	QCarray	0
E775.04-S51430.T	QCarray	0
E775.04-S51431.T	QCarray	0
E775.04-S51432.T	QCarray	0
E775.04-S51441.T	QCarray	0
E775.04-S51448.T	QCarray	0
E775.04-S51449.T	QCarray	0
E775.04-S51459.T	QCarray	0
E775.04-S51460.T	QCarray	0
E775.04-S51461.T	QCarray	0
E775.04-S51466.T	QCarray	0
E775.04-S51466.N	QCarray	0
E775.04-S51468.N	QCarray	0
E775.04-S51475.T	QCarray	0
E775.04-S51480.T	QCarray	0
E775.04-S51490.T	QCarray	0
E775.04-S51491.N	QCarray	0
E775.04-S51480.N	QCarray	0
E775.04-S51482.T	QCarray	0
E775.04-E337.2	QCarray	0
E775.04-E337.03	QCarray	0
E775.04-E337.07	QCarray	0
E775.04-E540.20	QCarray	0
